CODI_ESTACIO,DATA_LECTURA,TM,TX,TN,HRM
X2,01/10/2006,24.6,28.9,20.7,78
X2,02/10/2006,23,25.1,19.8,81
X2,03/10/2006,24.6,28.5,21.1,56
X2,04/10/2006,20.1,23.1,16.7,64
X2,05/10/2006,19.4,22.9,16,70
X2,06/10/2006,20.5,23.2,17.5,70
X2,07/10/2006,21.1,24.4,17.3,71
X2,08/10/2006,20.8,21.5,20,77
X2,09/10/2006,21.5,23.4,20.1,85
X2,10/10/2006,22.2,25,19.6,82
X2,11/10/2006,21.8,24.2,17.4,83
X2,12/10/2006,17,19.1,15.9,91
X2,13/10/2006,19.5,23.5,16.3,78
X2,14/10/2006,19.6,24.1,15.6,72
X2,15/10/2006,19.8,23,16.2,75
X2,16/10/2006,19.8,22.4,17.8,75
X2,17/10/2006,20.5,22.7,17.9,77
X2,18/10/2006,21.2,24.2,18.6,82
X2,19/10/2006,20.4,23.8,17.2,77
X2,20/10/2006,21.1,24.6,17.7,62
X2,21/10/2006,20,23.6,17.4,72
X2,22/10/2006,20.7,24.3,17,71
X2,23/10/2006,22.8,26.1,20.5,77
X2,24/10/2006,22,25.5,18.2,60
X2,25/10/2006,20.7,23.5,17,80
X2,26/10/2006,22.4,24.2,20.6,83
X2,27/10/2006,21,22.8,19.5,85
X2,28/10/2006,20,22.4,18.6,87
X2,29/10/2006,20.2,24.5,16.6,84
X2,30/10/2006,20.2,23.5,17.1,83
X2,31/10/2006,19.6,21.9,17.9,86
X2,01/11/2006,19.8,23.2,17.5,80
X2,02/11/2006,17.1,18.9,15.2,57
X2,03/11/2006,14.9,17.9,12.3,49
X2,04/11/2006,15.4,18.6,12.4,60
X2,05/11/2006,16.5,20,13.3,68
X2,08/11/2006,18.1,21.6,15.4,79
X2,09/11/2006,17.6,20.6,15.5,85
X2,10/11/2006,17.6,20.8,14.3,81
X2,11/11/2006,18,20.3,15.4,79
X2,12/11/2006,17.1,20.7,14.6,73
X2,13/11/2006,15.6,19.5,13.2,72
X2,14/11/2006,15.2,20.6,11,75
X2,15/11/2006,15.7,19.9,12,83
X2,16/11/2006,17.3,20.3,13.7,85
X2,17/11/2006,16.4,18.4,14,74
X2,18/11/2006,16.2,20.7,13.1,57
X2,19/11/2006,17,22.4,13,64
X2,20/11/2006,15.8,19,13.4,81
X2,21/11/2006,,20.2,12.4,
X2,24/11/2006,17.8,20.5,13.6,74
X2,25/11/2006,18.4,20.1,16,87
X2,26/11/2006,17,20.1,14.7,83
X2,27/11/2006,16.2,20.1,13.2,70
X2,28/11/2006,14.7,18.5,11,71
X2,29/11/2006,15.5,18.6,12.8,64
X2,30/11/2006,13.4,16.9,10.5,72
X2,01/12/2006,13.4,17.7,9,80
X2,02/12/2006,15,17.4,13.1,87
X2,03/12/2006,15.5,19,11.8,70
X2,04/12/2006,16.6,21,14,67
X2,05/12/2006,17.3,21.2,13.5,78
X2,06/12/2006,14,17.6,10.9,86
X2,08/12/2006,13.6,17,11,66
X2,09/12/2006,11.8,15.1,9.6,57
X2,10/12/2006,10.7,14.3,8.3,67
X2,11/12/2006,9.6,13.7,6.6,69
X2,12/12/2006,9.6,13.8,4.8,60
X2,13/12/2006,11.3,13.5,8.8,65
X2,15/12/2006,,16.4,12.7,
X2,16/12/2006,14.3,17.5,11.1,84
X2,17/12/2006,12.3,17.3,8.8,72
X2,18/12/2006,10.9,13,8.6,67
X2,19/12/2006,9.3,12,7.4,66
X2,20/12/2006,9.8,13.1,6.4,55
X2,21/12/2006,9.8,13.5,7.4,49
X2,22/12/2006,9.2,12.3,7.3,63
X2,23/12/2006,12.8,14.8,9.1,46
X2,24/12/2006,13.2,16.2,8.5,38
X2,25/12/2006,9.8,15.9,6.3,56
X2,26/12/2006,8.9,14.3,4.5,72
X2,27/12/2006,8.7,13.7,4.4,79
X2,28/12/2006,9,15.1,4.5,79
X2,29/12/2006,9.1,15.1,4.5,76
X2,30/12/2006,10,15.4,4.8,76
X2,31/12/2006,11.1,15.7,7.2,80
X2,01/01/2007,12.8,16.4,9.4,74
X2,02/01/2007,12.1,16.2,9,63
X2,03/01/2007,11.5,15,7.5,63
X2,04/01/2007,12.1,16.6,9.2,59
X2,05/01/2007,11.5,16.6,7.7,68
