"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"62172134","Museu d'Història de Catalunya","Biblioteca","Pl","Pau Vila","3","3","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.3807","2.185529","431897.098","4581339.737","431989.044","4581540.665","932254700","Tel.","","01/01","31/12","1000111","16:00:00","18:00:00"," ",
"62172134","Museu d'Història de Catalunya","Biblioteca","Pl","Pau Vila","3","3","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.3807","2.185529","431897.098","4581339.737","431989.044","4581540.665","932254700","Tel.","","01/01","31/12","1000111","10:00:00","15:00:00"," ",
"62172134","Museu d'Història de Catalunya","Biblioteca","Pl","Pau Vila","3","3","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.3807","2.185529","431897.098","4581339.737","431989.044","4581540.665","932254758","Fax","","01/01","31/12","1000111","16:00:00","18:00:00"," ",
"62172134","Museu d'Història de Catalunya","Biblioteca","Pl","Pau Vila","3","3","03","la Barceloneta","01","Ciutat Vella","08039","019","BARCELONA","41.3807","2.185529","431897.098","4581339.737","431989.044","4581540.665","932254758","Fax","","01/01","31/12","1000111","10:00:00","15:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","07/01","14/04","0000011","16:00:00","20:00:00","Visites comentades gratuïtes<br>(incloses al preu de l'entrada):<p>- dissabtes a les 11 h (català)<p>- dissabtes a les 17 h (castellà)<p>- per a grups amb reserva prèvia",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","07/01","14/04","0000011","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","07/01","14/04","1111101","10:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","07/01","14/04","1111110","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","15/04","22/04","0000001","10:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","15/04","22/04","1111110","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","23/04","24/06","0000011","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","23/04","24/06","0000011","16:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","23/04","24/06","1111101","10:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","23/04","24/06","1111110","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","25/06","11/09","0000001","10:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","25/06","11/09","1111110","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","12/09","30/11","0000001","16:00:00","20:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","12/09","30/11","0000001","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","12/09","30/11","1111110","10:00:00","14:00:00"," ",
"90154904","Fundació Arqueològica Clos","Museu Egipci de Barcelona","C","València","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.393657","2.164762","430174.499","4582794.773","430266.429","4582995.714","934878060","Fax","","01/12","06/01","0000001","10:00:00","20:00:00"," ",
