"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"119161015","Bar Zelig","#","C","Carme","116","116","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379797","2.166283","430286.83","4581254.855","430378.761","4581455.782","931250135","Tel.","","","","","","","",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","934430458","Tel.","","01/01","31/12","0000111","19:00:00","03:00:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","934430458","Tel.","","01/01","31/12","1111011","18:00:00","03:30:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","934430458","Tel.","","01/01","31/12","1111101","17:00:00","03:30:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","934430458","Tel.","","01/01","31/12","1111110","17:00:00","03:00:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","931405435","Tel.","","01/01","31/12","0000111","19:00:00","03:00:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","931405435","Tel.","","01/01","31/12","1111011","18:00:00","03:30:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","931405435","Tel.","","01/01","31/12","1111101","17:00:00","03:30:00"," ",
"283174133","Bar La Confiteria","#","C","Sant Pau","128","128","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.375518","2.167949","430421.553","4580778.444","430513.486","4580979.367","931405435","Tel.","","01/01","31/12","1111110","17:00:00","03:00:00"," ",
"321103526","Bar Musical Síncopa","#","C","Avinyó","35","35","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.380384","2.179054","431355.307","4581309.838","431447.248","4581510.766","932687560","Tel.","","","","","","","",
"325120406","Atlàntic Bar","#","Av","Tibidabo","56","56","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.415366","2.131625","427428.382","4585232.088","427520.286","4585433.051","934187161","Tel.","","","","","","","",
"325120406","Atlàntic Bar","#","Av","Tibidabo","56","56","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.415366","2.131625","427428.382","4585232.088","427520.286","4585433.051","932124683","Tel.","","","","","","","",
"325120406","Atlàntic Bar","#","Av","Tibidabo","56","56","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.415366","2.131625","427428.382","4585232.088","427520.286","4585433.051","934182018","Tel.","","","","","","","",
"333173100","Razzmatazz","#","C","Pamplona","88","88","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.396914","2.191309","432397.176","4583135.244","432489.126","4583336.189","933000302","Fax","","01/01","31/12","1111001","00:00:00","06:00:00"," ",
"333173100","Razzmatazz","#","C","Almogàvers","122","122","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.397756","2.191105","432381.053","4583228.901","432473.003","4583429.847","933208200","Tel.","","01/01","31/12","1111001","00:00:00","06:00:00"," ",
"333173100","Razzmatazz","#","C","Pamplona","88","88","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.396914","2.191309","432397.176","4583135.244","432489.126","4583336.189","933208200","Tel.","","01/01","31/12","1111001","00:00:00","06:00:00"," ",
"333173100","Razzmatazz","#","C","Almogàvers","122","122","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.397756","2.191105","432381.053","4583228.901","432473.003","4583429.847","933000302","Fax","","01/01","31/12","1111001","00:00:00","06:00:00"," ",
"1011130845","Bar Musical Barbara Ann","#","C","Taquígraf Garriga","163","163","19","les Corts","04","Les Corts","08029","019","BARCELONA","41.390424","2.139474","428056.875","4582456.522","428148.785","4582657.46","934306929","Tel.","","","","","","","",
"1033142110","Cerveseria Antibiòtic","#","C","Rocafort","225","225","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.384504","2.146279","428619.251","4581793.635","428711.167","4581994.567","933223266","Tel.","","","","","","","",
"1033153036","Bar Restaurant El Último Agave","#","C","Aragó","193","193","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.387894","2.158915","429679.474","4582159.682","429771.4","4582360.617","661950734","Tel.","","01/01","31/12","0100111","20:00:00","23:59:00"," ",
"1033153036","Bar Restaurant El Último Agave","#","C","Aragó","193","193","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.387894","2.158915","429679.474","4582159.682","429771.4","4582360.617","661950734","Tel.","","01/01","31/12","0100111","13:00:00","16:00:00"," ",
"1033153036","Bar Restaurant El Último Agave","#","C","Aragó","193","193","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.387894","2.158915","429679.474","4582159.682","429771.4","4582360.617","661950734","Tel.","","01/01","31/12","1011001","13:00:00","16:00:00"," ",
"1033153036","Bar Restaurant El Último Agave","#","C","Aragó","193","193","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08011","019","BARCELONA","41.387894","2.158915","429679.474","4582159.682","429771.4","4582360.617","661950734","Tel.","","01/01","31/12","1011001","20:00:00","23:59:00"," ",
"1033170144","Restaurant Candela Raval","#","Pl","Salvador Seguí","13","13","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.379073","2.17073","430657.941","4581170.865","430749.876","4581371.791","930029490","Tel.","","","","","","","",
"1082172815","Luz de Gas","Sala B","C","Muntaner","246","246","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.394624","2.149071","428863.762","4582914.848","428955.68","4583115.79","932097711","Tel.","","01/01","31/12","1100001","00:00:00",""," ",
"1211173854","Bar Café Berlín","#","C","Muntaner","240","240","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.394359","2.149523","428901.309","4582885.141","428993.227","4583086.083","932006542","Tel.","","","","","","","",
"75990014746","Bar musical Alkimia Barcelona","#","C","Amigó","35","35","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.395149","2.144589","428489.616","4582976.819","428581.53","4583177.762","666338590","Tel.","","","","","","","",
"75990014746","Bar musical Alkimia Barcelona","#","C","Amigó","35","35","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08021","019","BARCELONA","41.395149","2.144589","428489.616","4582976.819","428581.53","4583177.762","651740776","Tel.","","","","","","","",
"75990017166","Bar Kentucky","#","C","Arc del Teatre","11","11","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377737","2.174722","430990.322","4581019.368","431082.26","4581220.293","933182878","Tel.","","","","","","","",
"75990017166","Bar Kentucky","#","C","Arc del Teatre","11","11","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.377737","2.174722","430990.322","4581019.368","431082.26","4581220.293","620308049","Tel.","","","","","","","",
"75990017884","Restaurant Season","#","C","Aribau","125","125","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391371","2.155272","429378.683","4582548.683","429470.606","4582749.622","934531044","Tel.","","01/01","31/12","1001110","12:30:00","01:00:00"," ",
"75990017884","Restaurant Season","#","C","Aribau","125","125","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.391371","2.155272","429378.683","4582548.683","429470.606","4582749.622","934531044","Tel.","","01/01","31/12","1110001","12:30:00","03:00:00"," ",
