"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400027263","Punt Verd de Barri - Clot","#","C","Escultors Claperós","51","51","65","el Clot","10","Sant Martí","08018","019","BARCELONA","41.407106","2.189579","432263.199","4584268.17","432355.148","4584469.126","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400028442","Punt Verd de Barri - Vallvidrera","#","C","Reis Catòlics","40","40","22","Vallvidrera, el Tibidabo i les Planes","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.416052","2.101802","424936.808","4585333.672","425028.689","4585534.635","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400035497","Punt Verd de Barri - Sant Andreu","#","C","Rovira i Virgili","14","14","60","Sant Andreu","09","Sant Andreu","08030","019","BARCELONA","41.428283","2.188796","432219.726","4586619.773","432311.674","4586820.75","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400038444","Punt Verd de Barri - Poble-sec","#","C","Palaudàries","12","12","11","el Poble-sec","03","Sants-Montjuïc","08004","019","BARCELONA","41.374324","2.172866","430831.481","4580641.913","430923.418","4580842.835","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400038990","Punt Verd de Barri - Horta-Guinardó","#","C","Mas Casanovas","74","74","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.414541","2.172724","430862.282","4585106.903","430954.218","4585307.866","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400046207","Punt Verd de Barri - Gal·la Placídia","#","Pl","Gal·la Placídia","12","12","31","la Vila de Gràcia","06","Gràcia","08006","019","BARCELONA","41.399128","2.153461","429235.632","4583411.327","429327.553","4583612.274","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400161240","Punt Verd de Barri - Folch i Torres","#","Pl","Josep M. Folch i Torres","1","1","01","el Raval","01","Ciutat Vella","08001","019","BARCELONA","41.376716","2.166695","430318.03","4580912.474","430409.962","4581113.398","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400171807","Punt Verd de Barri - Sant Martí de Provençals","#","C","Andrade","150","150","72","Sant Martí de Provençals","10","Sant Martí","08020","019","BARCELONA","41.41582","2.201091","433234.327","4585226.631","433326.284","4585427.596","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400172226","Punt Verd de Barri - Fort Pienc","#","Pl","Fort Pienc","3","3","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.395936","2.182444","431655.083","4583033.642","431747.026","4583234.586","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400234223","Punt Verd de Barri - Barcardí","#","Trav","Corts","122","122","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.379963","2.126022","426920.494","4581306.367","427012.394","4581507.294","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400234956","Punt Verd de Barri - Nova Esquerra de l'Eixample","#","C","Rocafort","226","226","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.385302","2.145524","428557.029","4581882.854","428648.944","4582083.786","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
"99400234963","Punt Verd de Barri - Horta-Carmel","#","C","Dante Alighieri","77","77","37","el Carmel","07","Horta-Guinardó","08032","019","BARCELONA","41.427588","2.157778","429627.222","4586567.41","429719.146","4586768.386","","No tenen telèfon","","01/01","31/12","0000001","09:00:00","14:00:00"," ",
