"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2013,1,1,"Ciutat Vella",1,"el Raval","Homes","Atur registrat",3012
2013,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Atur registrat",799
2013,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Atur registrat",802
2013,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Atur registrat",1109
2013,1,2,"Eixample",5,"el Fort Pienc","Homes","Atur registrat",997
2013,1,2,"Eixample",6,"la Sagrada Família","Homes","Atur registrat",1623
2013,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Atur registrat",1035
2013,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Atur registrat",1252
2013,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Atur registrat",1733
2013,1,2,"Eixample",10,"Sant Antoni","Homes","Atur registrat",1302
2013,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Atur registrat",1941
2013,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Atur registrat",88
2013,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Atur registrat",1213
2013,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Atur registrat",484
2013,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Atur registrat",542
2013,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Atur registrat",635
2013,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Atur registrat",680
2013,1,3,"Sants-Montjuïc",18,"Sants","Homes","Atur registrat",1298
2013,1,4,"Les Corts",19,"les Corts","Homes","Atur registrat",1327
2013,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Atur registrat",673
2013,1,4,"Les Corts",21,"Pedralbes","Homes","Atur registrat",144
2013,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Atur registrat",65
2013,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Atur registrat",321
2013,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Atur registrat",251
2013,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Atur registrat",393
2013,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Atur registrat",819
2013,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Atur registrat",741
2013,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Atur registrat",496
2013,1,6,"Gràcia",29,"el Coll","Homes","Atur registrat",208
2013,1,6,"Gràcia",30,"la Salut","Homes","Atur registrat",402
2013,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Atur registrat",1597
2013,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Atur registrat",1042
2013,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Atur registrat",800
2013,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Atur registrat",287
2013,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Atur registrat",1222
2013,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Atur registrat",397
2013,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Atur registrat",1353
2013,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Atur registrat",408
2013,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Atur registrat",247
2013,1,7,"Horta-Guinardó",40,"Montbau","Homes","Atur registrat",178
2013,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Atur registrat",190
2013,1,7,"Horta-Guinardó",42,"la Clota","Homes","Atur registrat",13
2013,1,7,"Horta-Guinardó",43,"Horta","Homes","Atur registrat",1118
2013,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Atur registrat",1038
2013,1,8,"Nou Barris",45,"Porta","Homes","Atur registrat",1030
2013,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Atur registrat",640
2013,1,8,"Nou Barris",47,"Can Peguera","Homes","Atur registrat",91
2013,1,8,"Nou Barris",48,"la Guineueta","Homes","Atur registrat",758
2013,1,8,"Nou Barris",49,"Canyelles","Homes","Atur registrat",370
2013,1,8,"Nou Barris",50,"les Roquetes","Homes","Atur registrat",801
2013,1,8,"Nou Barris",51,"Verdun","Homes","Atur registrat",614
2013,1,8,"Nou Barris",52,"la Prosperitat","Homes","Atur registrat",1157
2013,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Atur registrat",565
2013,1,8,"Nou Barris",54,"Torre Baró","Homes","Atur registrat",157
2013,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Atur registrat",820
2013,1,8,"Nou Barris",56,"Vallbona","Homes","Atur registrat",95
2013,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Atur registrat",759
2013,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Atur registrat",92
2013,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Atur registrat",524
2013,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Atur registrat",2122
2013,1,9,"Sant Andreu",61,"la Sagrera","Homes","Atur registrat",1000
2013,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Atur registrat",487
2013,1,9,"Sant Andreu",63,"Navas","Homes","Atur registrat",746
2013,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Atur registrat",1459
2013,1,10,"Sant Martí",65,"el Clot","Homes","Atur registrat",973
2013,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Atur registrat",464
2013,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Atur registrat",311
2013,1,10,"Sant Martí",68,"el Poblenou","Homes","Atur registrat",1069
2013,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Atur registrat",542
2013,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Atur registrat",1243
2013,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Atur registrat",780
2013,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Atur registrat",1086
2013,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur registrat",1231
2013,1,99,"No consta",99,"No consta","Homes","Atur registrat",7
2013,1,1,"Ciutat Vella",1,"el Raval","Dones","Atur registrat",1790
2013,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur registrat",558
2013,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur registrat",704
2013,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur registrat",981
2013,1,2,"Eixample",5,"el Fort Pienc","Dones","Atur registrat",1042
2013,1,2,"Eixample",6,"la Sagrada Família","Dones","Atur registrat",1677
