Date,Package,Title
6/7/20,CCAMLRGIS,Antarctic Spatial Data Manipulation
6/7/20,compareDF,Do a Git Style Diff of the Rows Between Two Dataframes with Similar Structure
6/7/20,ewoc,Escalation with Overdose Control
6/7/20,FCPS,Fundamental Clustering Problems Suite
6/7/20,FlexGAM,Generalized Additive Models with Flexible Response Functions
6/7/20,fpp3,"Data for ""Forecasting: Principles and Practice"" (3rd Edition)"
6/7/20,gbfs,Interface with Live Bikeshare Data
6/7/20,helda,Preprocess Data and Get Better Insights from Machine Learning Models
6/7/20,OpenMx,Extended Structural Equation Modelling
6/7/20,OrdNor,Concurrent Generation of Ordinal and Normal Data with Given Correlation Matrix and Marginal Distributions
6/7/20,pathfindR,Enrichment Analysis Utilizing Active Subnetworks
6/7/20,photobiology,Photobiological Calculations
6/7/20,pxR,PC-Axis with R
6/7/20,rKolada,Access Data from the 'Kolada' Database in R
6/7/20,SP2000,Catalogue of Life Toolkit
6/7/20,tealeaves,Solve for Leaf Temperature Using Energy Balance
6/6/20,berryFunctions,Function Collection Related to Plotting and Hydrology
6/6/20,BOIN,Bayesian Optimal INterval (BOIN) Design for Single-Agent and Drug- Combination Phase I Clinical Trials
6/6/20,C443,See a Forest for the Trees
6/6/20,codebook,Automatic Codebooks from Metadata Encoded in Dataset Attributes
6/6/20,daarem,Damped Anderson Acceleration with Epsilon Monotonicity for Accelerating EM-Like Monotone Algorithms
6/6/20,DatabaseConnector,Connecting to Various Database Platforms
6/6/20,fingertipsR,Fingertips Data for Public Health
6/6/20,GGally,Extension to 'ggplot2'
6/6/20,groupdata2,Creating Groups from Data
6/6/20,httpuv,HTTP and WebSocket Server Library
6/6/20,knockoff,The Knockoff Filter for Controlled Variable Selection
6/6/20,loggit,Modern Logging for the R Ecosystem
6/6/20,ocedata,Oceanographic Data Sets for 'oce' Package
6/6/20,opentripplanner,Setup and connect to 'OpenTripPlanner'
6/6/20,pammtools,Piece-Wise Exponential Additive Mixed Modeling Tools for Survival Analysis
6/6/20,phenopix,Process Digital Images of a Vegetation Cover
6/6/20,quantities,Quantity Calculus for R Vectors
6/6/20,ROpenCVLite,Install 'OpenCV'
6/6/20,seasonal,R Interface to X-13-ARIMA-SEATS
6/6/20,simmer,Discrete-Event Simulation for R
6/6/20,SparkR,R Front End for 'Apache Spark'
6/6/20,sybilDynFBA,Dynamic FBA : Dynamic Flux Balance Analysis
6/6/20,tgcd,Thermoluminescence Glow Curve Deconvolution
6/6/20,vdiffr,Visual Regression Testing and Graphical Diffing
6/5/20,actuar,Actuarial Functions and Heavy Tailed Distributions
6/5/20,autoTS,Automatic Model Selection and Prediction for Univariate Time Series
6/5/20,AzureStor,Storage Management in 'Azure'
6/5/20,bacistool,Bayesian Classification and Information Sharing (BaCIS) Tool for the Design of Multi-Group Phase II Clinical Trials
6/5/20,BCHM,Clinical Trial Calculation Based on BCHM Design
6/5/20,betadiv,Estimators of Multiple-Site Dissimilarity Indices for the Assessment of Beta Diversity
6/5/20,boral,Bayesian Ordination and Regression AnaLysis
6/5/20,CAinterprTools,Graphical Aid in Correspondence Analysis Interpretation and Significance Testings
6/5/20,cellOrigins,Finds RNASeq Source Tissues Using In Situ Hybridisation Data
6/5/20,confreq,Configural Frequencies Analysis Using Log-Linear Modeling
6/5/20,corels,R Binding for the 'Certifiably Optimal RulE ListS (Corels)' Learner
6/5/20,Cyclops,"Cyclic Coordinate Descent for Logistic, Poisson and Survival Analysis"
6/5/20,DIFtree,Item Focussed Trees for the Identification of Items in Differential Item Functioning
6/5/20,dwdradar,Read Binary Radar Files from 'DWD' (German Weather Service)
6/5/20,DynTxRegime,Methods for Estimating Optimal Dynamic Treatment Regimes
6/5/20,equaltestMI,Examine Measurement Invariance via Equivalence Testing and Projection Method
6/5/20,fingertipscharts,Produce Charts that you See on the Fingertips Website
6/5/20,fxtract,Feature Extraction from Grouped Data
6/5/20,later,Utilities for Scheduling Functions to Execute Later with Event Loops
6/5/20,lcsm,Univariate and Bivariate Latent Change Score Modeling
6/5/20,lpirfs,Local Projections Impulse Response Functions
6/5/20,mbend,Matrix Bending
6/5/20,mcb,Model Confidence Bounds
6/5/20,mlr3proba,Probabilistic Supervised Learning for 'mlr3'
6/5/20,moreparty,A Toolbox for Conditional Inference Random Forests
6/5/20,movecost,Calculation of Accumulated Cost Surface and Least-Cost Paths Related to Human Movement Across the Landscape
